Player,Date,Pitcher,Team,ISO,Pitcher_HR9,HardHit,FlyBall,ParkFactor,WindFactor,Matchup,HR_Result,BarrelRate,ExitVelocity,LaunchAngle,RecentHRRate
Anthony Rendon,2024-03-28,Corbin Burnes,Los Angeles Angels,0.133,1.04,56.13,34.85,1.14,1.11,0.93,0,10.0,90.0,16.0,0.1
Aaron Hicks,2024-03-28,Corbin Burnes,Los Angeles Angels,0.2,1.06,42.53,20.93,1.07,1.02,0.53,0,10.0,90.0,16.0,0.1
Mike Trout,2024-03-28,Corbin Burnes,Los Angeles Angels,0.154,1.26,42.69,26.64,0.93,1.07,0.86,1,10.0,90.0,16.0,0.1
Mickey Moniak,2024-03-28,Corbin Burnes,Los Angeles Angels,0.227,1.29,32.31,38.76,1.13,1.04,0.55,0,10.0,90.0,16.0,0.1
Taylor Ward,2024-03-28,Corbin Burnes,Los Angeles Angels,0.204,1.88,29.91,47.39,1.04,1.19,0.73,0,10.0,90.0,16.0,0.1
Brandon Drury,2024-03-28,Corbin Burnes,Los Angeles Angels,0.291,1.74,52.49,24.5,1.07,0.98,0.76,0,10.0,90.0,16.0,0.1
Luis Rengifo,2024-03-28,Corbin Burnes,Los Angeles Angels,0.181,2.03,54.13,32.78,1.05,0.99,0.96,0,10.0,90.0,16.0,0.1
Nolan Schanuel,2024-03-28,Corbin Burnes,Los Angeles Angels,0.211,1.25,57.84,31.27,1.13,1.13,0.73,0,10.0,90.0,16.0,0.1
Miguel Sanó,2024-03-28,Corbin Burnes,Los Angeles Angels,0.166,1.36,27.76,44.43,1.07,1.15,0.63,0,10.0,90.0,16.0,0.1
Jo Adell,2024-03-28,Corbin Burnes,Los Angeles Angels,0.242,0.95,55.93,48.51,1.14,0.96,0.56,0,10.0,90.0,16.0,0.1
Logan O'Hoppe,2024-03-28,Corbin Burnes,Los Angeles Angels,0.192,0.94,45.48,27.08,1.09,0.99,1.0,0,10.0,90.0,16.0,0.1
Zach Neto,2024-03-28,Corbin Burnes,Los Angeles Angels,0.272,1.11,33.63,42.51,1.19,1.15,1.0,0,10.0,90.0,16.0,0.1
Patrick Sandoval,2024-03-28,Corbin Burnes,Los Angeles Angels,0.228,1.77,54.61,30.19,0.94,0.96,0.97,0,10.0,90.0,16.0,0.1
José Suarez,2024-03-28,Corbin Burnes,Los Angeles Angels,0.141,1.59,51.01,33.94,1.1,1.1,0.62,0,10.0,90.0,16.0,0.1
José Cisnero,2024-03-28,Corbin Burnes,Los Angeles Angels,0.246,1.58,47.5,43.69,0.97,1.09,0.82,0,10.0,90.0,16.0,0.1
Guillo Zuñiga,2024-03-28,Corbin Burnes,Los Angeles Angels,0.265,1.05,31.68,28.93,1.15,1.05,0.52,0,10.0,90.0,16.0,0.1
Adam Cimber,2024-03-28,Corbin Burnes,Los Angeles Angels,0.144,0.9,32.87,23.81,1.1,1.12,0.61,0,10.0,90.0,16.0,0.1
Gunnar Henderson,2024-03-28,Patrick Sandoval,Baltimore Orioles,0.264,1.41,56.14,41.34,1.13,1.04,0.73,0,10.0,90.0,16.0,0.1
