Player,Hand,ISO_vs_RHP,ISO_vs_LHP,HardHit,FlyBall,BarrelRate,ExitVelocity,LaunchAngle,RecentHRRate,Matchup
Mike Trout,R,0.28,0.25,46.0,40.0,14.2,92.5,18.4,0.22,0.8
Taylor Ward,R,0.23,0.2,43.0,38.0,10.1,90.2,16.8,0.14,0.72
Logan O'Hoppe,R,0.22,0.19,42.0,37.0,11.4,91.1,17.2,0.16,0.7
Nolan Schanuel,L,0.17,0.13,35.0,30.0,5.8,87.4,11.6,0.08,0.6
Jorge Soler,R,0.26,0.22,47.0,41.0,15.6,93.1,19.8,0.24,0.78
Luis Rengifo,S,0.18,0.16,36.0,31.0,6.2,88.1,12.4,0.09,0.62
Zach Neto,R,0.21,0.17,40.0,34.0,8.9,89.5,15.2,0.13,0.68
Jo Adell,R,0.25,0.21,45.0,39.0,13.1,92.0,18.1,0.19,0.76
Mickey Moniak,L,0.19,0.15,38.0,32.0,7.1,88.7,13.4,0.1,0.64
Aaron Judge,R,0.34,0.3,55.0,48.0,24.1,96.8,21.4,0.42,0.95
Juan Soto,L,0.31,0.28,52.0,45.0,19.8,94.1,19.5,0.34,0.92
Shohei Ohtani,L,0.33,0.29,54.0,46.0,22.5,95.6,20.8,0.39,0.94
Kyle Schwarber,L,0.32,0.25,51.0,49.0,18.4,93.8,22.1,0.33,0.91
Bryce Harper,L,0.29,0.26,50.0,43.0,15.9,92.9,18.6,0.28,0.89
Vaughn Grissom,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Wade Meckler,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jose Siri,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Adam Frazier,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Oswald Peraza,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Colt Keith,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Kevin McGonigle,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Dillon Dingler,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Riley Greene,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Spencer Torkelson,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Zach McKinstry,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Matt Vierling,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Wenceel Pérez,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Jake Rogers,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Byron Buxton,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Brooks Lee,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Trevor Larnach,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Kody Clemens,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Josh Bell,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Orlando Arcia,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Victor Caratini,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Tristan Gray,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Ryan Kreidler,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
Sam Antonacci,R,0.18,0.16,38.0,34.0,8.0,89.0,14.0,0.1,0.65
