Date,GameTimeUTC,GameTimeET,GameTime,Game,LineupSpot,Player,player_id,LineupSource,Team,Pitcher,ISO,Pitcher_HR9,HardHit,FlyBall,BarrelRate,ExitVelocity,LaunchAngle,RecentHRRate,ParkFactor,WindFactor,Matchup,FanDuel,DraftKings,BetMGM,PitcherVulnerability,FallbackType,PitcherFallbackType,TruePowerIndex,ContactQualityScore,LaunchProfileScore,PulledAirScore,PitcherHRWeaknessScore,PitcherLineupWeakSpot,EnrichmentScore,EnrichmentTier,BestBook,BestOdds,HasOdds,LineupSpotAdj,RawHRScore,RawDecisionScore,RawSmashScore,HRScore,DecisionScore,SmashScore,PowerScore,Confidence,BestImpliedProb,RawModelProb,ModelProb,Edge,EVScore,Grade,Tier,Play,TopHRRank,TopEdgeRank,TopProbRank,TopSmashRank,PlayCode,TierCode,Reason,Stake,PitcherScore,PitcherLineupScore,SmashTier
2026-06-04,2026-06-04T18:10:00+00:00,2026-06-04T14:10:00-04:00,2:10 PM,San Francisco Giants vs Milwaukee Brewers,4,Willy Adames,642715,confirmed,San Francisco Giants,Coleman Crow,0.252,1.52,48.2,,12.8,,,0.149,0.0,0.0,0.0,440.0,445.0,310.0,66.2,SMART_POWER_BAT_V2_1,SMART_PITCHER_V2_2,350.98,10.0,10.0,8.0,7.0,10,100.0,V2 ELITE,DraftKings,445.0,True,8,480.7932,277.79694,403.77261999999996,100.0,100.0,100.0,350.98,98.64,0.1834862385321101,0.2023,0.2023,0.018814,1.88,A+,GOD TIER ðŸ‘‘,YES ðŸ”¥,1,49,1,1,YES,GOD_TIER,V3.11 official play,0.5,7.0,10,GOD TIER ðŸ‘‘
2026-06-04,2026-06-04T17:35:00+00:00,2026-06-04T13:35:00-04:00,1:35 PM,Cleveland Guardians vs New York Yankees,4,Cody Bellinger,641355,confirmed,New York Yankees,Slade Cecconi,0.248,1.24,47.8,,12.6,,,0.146,0.0,0.0,0.0,410.0,394.0,325.0,53.2,SMART_POWER_BAT_V2_1,SMART_PITCHER_V2_2,346.04,10.0,10.0,8.0,6.0,10,95.06,V2 ELITE,FanDuel,410.0,True,8,458.60360000000003,263.97661999999997,379.52126,99.38,99.38,99.38,346.04,95.31,0.19607843137254902,0.1959,0.1959,-0.000178,-0.02,A,ELITE ðŸ”¥,POWER BAT ðŸ’£,2,70,5,2,POWER_BAT,ELITE,V3.11 filter removed negative-edge official play,0.1,6.0,10,ELITE ðŸ”¥
2026-06-04,2026-06-05T00:05:00+00:00,2026-06-04T20:05:00-04:00,8:05 PM,Athletics vs Chicago Cubs,4,Alika Williams,675961,power_roster,Athletics,Shota Imanaga,0.202,1.59,42.2,,9.5,,,0.109,0.0,0.0,0.0,,,,69.7,SMART_LINEUP_V2_1,SMART_PITCHER_V2_2,281.64,10.0,8.0,6.0,7.0,10,99.07,V2 ELITE,NO_ODDS,,False,8,417.7526,249.89616999999998,366.99841000000004,93.21,96.3,96.91,281.64,95.31,,0.1982,0.1982,0.0,0.0,A,STRONG ðŸ’£,NO ODDS,12,69,2,6,NO_ODDS,STRONG,No sportsbook odds available,0.0,7.0,10,STRONG ðŸ’£
2026-06-04,2026-06-04T23:15:00+00:00,2026-06-04T19:15:00-04:00,7:15 PM,Toronto Blue Jays vs Atlanta Braves,5,Ernie Clement,676391,power_roster,Toronto Blue Jays,Chris Sale,0.208,1.5,42.8,,9.9,,,0.116,0.0,0.0,0.0,1120.0,980.0,1000.0,65.1,SMART_MID_POWER_V2_1,SMART_PITCHER_V2_2,290.38,10.0,8.0,6.0,7.0,10,95.99,V2 ELITE,FanDuel,1120.0,True,9,423.1842,252.05039,368.83447,94.44,97.53,97.53,290.38,94.63,0.08196721311475409,0.1963,0.1963,0.114333,11.43,A,STRONG ðŸ’£,YES ðŸ”¥,10,1,4,5,YES,STRONG,V3.11 high-edge official play,0.25,7.0,10,STRONG ðŸ’£
2026-06-04,2026-06-05T00:05:00+00:00,2026-06-04T20:05:00-04:00,8:05 PM,Athletics vs Chicago Cubs,3,Nick Kurtz,701762,power_roster,Athletics,Shota Imanaga,0.25,1.59,48.0,,12.7,,,0.148,0.0,0.0,0.0,290.0,299.0,230.0,69.7,SMART_POWER_BAT_V2_1,SMART_PITCHER_V2_2,348.66,10.0,10.0,8.0,7.0,0,91.05,V2 ELITE,DraftKings,299.0,True,10,438.58939999999996,248.06772999999998,343.44629,96.91,94.44,87.65,348.66,94.38,0.2506265664160401,0.1963,0.1963,-0.054327,-5.43,A,STRONG ðŸ’£,POWER BAT ðŸ’£,6,114,4,21,POWER_BAT,STRONG,V3.11 filter removed negative-edge official play,0.1,7.0,0,STRONG ðŸ’£
2026-06-04,2026-06-05T00:05:00+00:00,2026-06-04T20:05:00-04:00,8:05 PM,Athletics vs Chicago Cubs,5,Jeff McNeil,643446,power_roster,Athletics,Shota Imanaga,0.199,1.59,41.9,,9.3,,,0.107,0.0,0.0,0.0,790.0,770.0,700.0,69.7,SMART_LINEUP_V2_1,SMART_PITCHER_V2_2,277.72,10.0,8.0,6.0,7.0,10,99.07,V2 ELITE,FanDuel,790.0,True,9,415.00480000000005,250.05966000000004,366.25668,90.74,96.91,96.3,277.72,94.38,0.11235955056179775,0.1969,0.1969,0.08454,8.45,A,STRONG ðŸ’£,YES ðŸ”¥,16,11,3,7,YES,STRONG,V3.11 clean official card: positive edge + strong HR profile,0.25,7.0,10,STRONG ðŸ’£
2026-06-04,2026-06-04T17:05:00+00:00,2026-06-04T13:05:00-04:00,1:05 PM,San Diego Padres vs Philadelphia Phillies,5,Jackson Merrill,701538,confirmed,San Diego Padres,Zack Wheeler,0.203,1.52,42.3,,9.5,,,0.109,0.0,0.0,0.0,,500.0,,66.5,SMART_LINEUP_V2_1,SMART_PITCHER_V2_2,282.36,10.0,8.0,6.0,7.0,10,97.84,V2 ELITE,DraftKings,500.0,True,9,416.6424,249.84908000000001,365.58984000000004,91.98,95.68,95.68,282.36,93.83,0.16666666666666666,0.1957,0.1957,0.029033,2.9,A,STRONG ðŸ’£,POWER BAT ðŸ’£,14,38,6,8,POWER_BAT,STRONG,Power bat profile but failed official YES edge/filter threshold,0.1,7.0,10,STRONG ðŸ’£
2026-06-04,2026-06-05T00:10:00+00:00,2026-06-04T20:10:00-04:00,8:10 PM,Pittsburgh Pirates vs Houston Astros,4,Brandon Lowe,664040,power_roster,Pittsburgh Pirates,Kai-Wei Teng,0.251,1.21,48.1,,12.7,,,0.148,0.0,0.0,0.0,430.0,416.0,310.0,51.8,SMART_POWER_BAT_V2_1,SMART_PITCHER_V2_2,349.38,10.0,10.0,8.0,5.0,10,91.98,V2 ELITE,FanDuel,430.0,True,8,453.9842,260.84789,372.18947000000003,98.77,98.77,98.77,349.38,93.65,0.18867924528301888,0.1929,0.1929,0.004221,0.42,A,STRONG ðŸ’£,POWER BAT ðŸ’£,3,64,8,3,POWER_BAT,STRONG,Power bat profile but failed official YES edge/filter threshold,0.1,5.0,10,STRONG ðŸ’£
2026-06-04,2026-06-04T17:05:00+00:00,2026-06-04T13:05:00-04:00,1:05 PM,San Diego Padres vs Philadelphia Phillies,4,Ty France,664034,confirmed,San Diego Padres,Zack Wheeler,0.202,1.52,42.2,,9.5,,,0.109,0.0,0.0,0.0,1000.0,900.0,,66.5,SMART_LINEUP_V2_1,SMART_PITCHER_V2_2,281.64,10.0,8.0,6.0,7.0,10,97.84,V2 ELITE,FanDuel,1000.0,True,8,415.03259999999995,247.72466999999997,363.64641,91.36,93.83,95.06,281.64,92.9,0.09090909090909091,0.1944,0.1944,0.103491,10.35,A,STRONG ðŸ’£,YES ðŸ”¥,15,6,7,9,YES,STRONG,V3.11 high-edge official play,0.25,7.0,10,STRONG ðŸ’£
2026-06-04,2026-06-04T17:35:00+00:00,2026-06-04T13:35:00-04:00,1:35 PM,Baltimore Orioles vs Boston Red Sox,4,Pete Alonso,624413,confirmed,Baltimore Orioles,Brayan Bello,0.251,1.17,48.1,,12.7,,,0.148,0.0,0.0,0.0,320.0,325.0,310.0,50.0,SMART_POWER_BAT_V2_1,SMART_PITCHER_V2_2,349.38,10.0,10.0,8.0,5.0,10,90.12,V2 ELITE,DraftKings,325.0,True,8,452.4542,259.33439000000004,370.30397000000005,98.15,98.15,98.15,349.38,92.53,0.23529411764705882,0.191,0.191,-0.044294,-4.43,A,STRONG ðŸ’£,POWER BAT ðŸ’£,4,107,10,4,POWER_BAT,STRONG,V3.11 filter removed negative-edge official play,0.1,5.0,10,STRONG ðŸ’£
