Pitcher,Hand,HR9_vs_LHB,HR9_vs_RHB,HardHitAllowed,BarrelAllowed,FlyBallAllowed,RecentHRAllowed
Jack Flaherty,R,1.5,1.1,42.0,10.8,39.0,0.18
Cole Ragans,L,1.2,1.6,40.0,9.5,37.0,0.14
Kyle Freeland,L,1.4,1.8,44.0,11.2,41.0,0.22
Joe Musgrove,R,1.3,1.2,39.0,8.9,36.0,0.12
Grayson Rodriguez,R,1.3,1.2,40.0,9.5,37.0,0.15
Davis Martin,R,1.3,1.2,40.0,9.5,37.0,0.15
Simeon Woods Richardson,R,1.3,1.2,40.0,9.5,37.0,0.15
Payton Tolle,R,1.3,1.2,40.0,9.5,37.0,0.15
Chris Sale,R,1.3,1.2,40.0,9.5,37.0,0.15
Chris Bassitt,R,1.3,1.2,40.0,9.5,37.0,0.15
Patrick Corbin,R,1.3,1.2,40.0,9.5,37.0,0.15
Paul Skenes,R,1.3,1.2,40.0,9.5,37.0,0.15
Colin Rea,R,1.3,1.2,40.0,9.5,37.0,0.15
Nathan Eovaldi,R,1.3,1.2,40.0,9.5,37.0,0.15
Spencer Arrighetti,R,1.3,1.2,40.0,9.5,37.0,0.15
Chris Paddack,R,1.3,1.2,40.0,9.5,37.0,0.15
Grant Holmes,R,1.3,1.2,40.0,9.5,37.0,0.15
Paxton Schultz,R,1.3,1.2,40.0,9.5,37.0,0.15
Lucas Giolito,R,1.3,1.2,40.0,9.5,37.0,0.15
Jared Jones,R,1.3,1.2,40.0,9.5,37.0,0.15
Taj Bradley,R,1.3,1.2,40.0,9.5,37.0,0.15
Trevor Rogers,R,1.3,1.2,40.0,9.5,37.0,0.15
TBD,R,1.3,1.2,40.0,9.5,37.0,0.15
Slade Cecconi,R,1.3,1.2,40.0,9.5,37.0,0.15
Tyler Samaniego,R,1.3,1.2,40.0,9.5,37.0,0.15
Nick Martinez,R,1.3,1.2,40.0,9.5,37.0,0.15
Walbert Ureña,R,1.3,1.2,40.0,9.5,37.0,0.15
Freddy Peralta,R,1.3,1.2,40.0,9.5,37.0,0.15
Max Meyer,R,1.3,1.2,40.0,9.5,37.0,0.15
Andre Pallante,R,1.3,1.2,40.0,9.5,37.0,0.15
Shota Imanaga,R,1.3,1.2,40.0,9.5,37.0,0.15
Erick Fedde,R,1.3,1.2,40.0,9.5,37.0,0.15
Troy Melton,R,1.3,1.2,40.0,9.5,37.0,0.15
MacKenzie Gore,R,1.3,1.2,40.0,9.5,37.0,0.15
Stephen Kolek,R,1.3,1.2,40.0,9.5,37.0,0.15
Kai-Wei Teng,R,1.3,1.2,40.0,9.5,37.0,0.15
Coleman Crow,R,1.3,1.2,40.0,9.5,37.0,0.15
Michael Lorenzen,R,1.3,1.2,40.0,9.5,37.0,0.15
Logan Webb,R,1.3,1.2,40.0,9.5,37.0,0.15
Luis Severino,R,1.3,1.2,40.0,9.5,37.0,0.15
Carlos Rodón,R,1.3,1.2,40.0,9.5,37.0,0.15
George Kirby,R,1.3,1.2,40.0,9.5,37.0,0.15
Zac Gallen,R,1.3,1.2,40.0,9.5,37.0,0.15
Justin Wrobleski,R,1.3,1.2,40.0,9.5,37.0,0.15
Zack Wheeler,R,1.3,1.2,40.0,9.5,37.0,0.15
Adam Macko,R,1.3,1.2,40.0,9.5,37.0,0.15
