Date,Player,Team,Pitcher,BestBook,BestOdds,ModelProb,RawModelProb,Edge,Confidence,Grade,Stake,Play,Result,Profit
2026-05-29,Rafael Devers,San Francisco Giants,Michael Lorenzen,BetMGM,658,0.2123,0.071,0.0803,78,B,0.0,NO,,
2026-05-29,JJ Wetherholt,St. Louis Cardinals,Shota Imanaga,FanDuel,638,0.2123,0.071,0.0768,77,B,0.0,NO,,
2026-05-29,Willson Contreras,Boston Red Sox,Slade Cecconi,DraftKings,639,0.2113,0.0707,0.076,77,B,0.0,NO,,
2026-05-29,Jared Young,New York Mets,Max Meyer,DraftKings,629,0.2123,0.071,0.0751,77,B,0.0,NO,,
2026-05-29,Gabriel Moreno,Arizona Diamondbacks,George Kirby,DraftKings,+617,0.2123,0.071,0.0728,77,B,1.0,YES 🔥,,
2026-05-29,Rhys Hoskins,Cleveland Guardians,Tyler Samaniego,BetMGM,+616,0.2123,0.071,0.0726,77,B,1.0,YES 🔥,,
2026-05-29,Michael Busch,Chicago Cubs,Andre Pallante,BetMGM,649,0.2053,0.071,0.0718,73,B,0.0,NO,,
2026-05-29,Nick Sogard,Boston Red Sox,Slade Cecconi,DraftKings,+596,0.213,0.0713,0.0693,76,B,1.0,YES 🔥,,
2026-05-29,Manny Machado,San Diego Padres,Paxton Schultz,DraftKings,595,0.2123,0.071,0.0684,76,B,0.0,NO,,
2026-05-29,Freddie Freeman,Los Angeles Dodgers,Zack Wheeler,DraftKings,+627,0.206,0.0712,0.0684,73,B,0.5,YES 🔥,,
2026-05-29,Christian Walker,Houston Astros,Coleman Crow,FanDuel,+594,0.2123,0.071,0.0682,76,B,1.0,YES 🔥,,
2026-05-29,Christian Walker,Houston Astros,Coleman Crow,BetMGM,592,0.2123,0.071,0.0678,76,B,0.0,NO,,
2026-05-29,Rafael Devers,San Francisco Giants,Michael Lorenzen,FanDuel,+592,0.2123,0.071,0.0678,76,B,1.0,YES 🔥,,
2026-05-29,Junior Caminero,Tampa Bay Rays,Walbert Ureña,FanDuel,+623,0.2053,0.071,0.067,72,B,0.5,YES 🔥,,
2026-05-29,Ozzie Albies,Atlanta Braves,Chris Paddack,BetMGM,588,0.2123,0.071,0.0669,76,B,0.0,NO,,
2026-05-29,Kody Clemens,Minnesota Twins,Jared Jones,FanDuel,622,0.2053,0.071,0.0668,72,B,0.0,NO,,
2026-05-29,Chase DeLauter,Cleveland Guardians,Tyler Samaniego,DraftKings,+621,0.2053,0.071,0.0666,72,B,0.0,NO,,
2026-05-29,James Outman,Minnesota Twins,Jared Jones,BetMGM,+586,0.2123,0.071,0.0665,76,B,1.0,YES 🔥,,
2026-05-29,Bryson Stott,Philadelphia Phillies,Justin Wrobleski,BetMGM,+650,0.199,0.0713,0.0657,68,B,0.5,YES 🔥,,
