Date,GameTimeUTC,GameTimeET,GameTime,Game,LineupSpot,Player,player_id,LineupSource,Team,Pitcher,ISO,Pitcher_HR9,HardHit,FlyBall,BarrelRate,ExitVelocity,LaunchAngle,RecentHRRate,ParkFactor,WindFactor,Matchup,FanDuel,DraftKings,BetMGM,PitcherVulnerability
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,1,Drew Romo,691011,active_roster,Chicago White Sox,Framber Valdez,0.18,,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,480.0,475.0,472.0,0.0
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,2,Edgar Quero,700337,active_roster,Chicago White Sox,Framber Valdez,0.18,,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,565.0,570.0,563.0,0.0
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,3,Munetaka Murakami,808959,active_roster,Chicago White Sox,Framber Valdez,0.18,,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,447.0,440.0,443.0,0.0
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,4,Chase Meidroth,805367,active_roster,Chicago White Sox,Framber Valdez,0.18,,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,489.0,475.0,489.0,0.0
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,5,Miguel Vargas,678246,active_roster,Chicago White Sox,Framber Valdez,0.18,,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,551.0,546.0,549.0,0.0
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,6,Colson Montgomery,695657,active_roster,Chicago White Sox,Framber Valdez,0.18,,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,370.0,359.0,363.0,0.0
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,7,Sam Antonacci,803011,active_roster,Chicago White Sox,Framber Valdez,0.18,,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,642.0,627.0,636.0,0.0
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,8,Luisangel Acuña,682668,active_roster,Chicago White Sox,Framber Valdez,0.18,,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,510.0,518.0,498.0,0.0
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,9,Tristan Peters,671976,active_roster,Chicago White Sox,Framber Valdez,0.18,,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,413.0,411.0,417.0,0.0
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,1,Dillon Dingler,693307,active_roster,Detroit Tigers,Anthony Kay,0.18,,38.0,34.0,8.0,89.0,14.0,0.1,0.98,1.1,0.65,605.0,599.0,592.0,0.0
