Date,Snapshot,Player,Team,Pitcher,BestBook,BestOdds,ModelProb,RawModelProb,Edge,Confidence,Grade,Tier,TopEdgeRank,TopProbRank,Stake,Play,Result,Profit
2026-05-30,,Riley Greene,Detroit Tigers,Anthony Kay,DraftKings,640,0.2162,0.0723,0.0811,78,B,,,,1.0,YES 🔥,,
2026-05-30,,Ty France,San Diego Padres,Foster Griffin,DraftKings,661,0.2119,0.0709,0.0805,78,B,,,,1.0,YES 🔥,,
2026-05-30,,Paul Goldschmidt,New York Yankees,J.T. Ginn,DraftKings,639,0.2135,0.0714,0.0782,77,B,,,,1.0,YES 🔥,,
2026-05-30,,Rafael Devers,San Francisco Giants,Ryan Feltner,DraftKings,643,0.2119,0.0709,0.0773,77,B,,,,1.0,YES 🔥,,
2026-05-30,,Connor Norby,Miami Marlins,Christian Scott,BetMGM,638,0.2119,0.0709,0.0764,77,B,,,,1.0,YES 🔥,,
2026-05-30,,JJ Wetherholt,St. Louis Cardinals,Ben Brown,DraftKings,635,0.2119,0.0709,0.0758,77,B,,,,1.0,YES 🔥,,
2026-05-30,,Michael Massey,Kansas City Royals,Kumar Rocker,FanDuel,633,0.2119,0.0709,0.0755,77,B,,,,1.0,YES 🔥,,
2026-05-30,,Ketel Marte,Arizona Diamondbacks,Bryan Woo,DraftKings,621,0.2119,0.0709,0.0732,77,B,,,,1.0,YES 🔥,,
2026-05-30,,Jared Young,New York Mets,Tyler Phillips,DraftKings,620,0.2119,0.0709,0.073,77,B,,,,1.0,YES 🔥,,
2026-05-30,,Chase Meidroth,Chicago White Sox,Framber Valdez,BetMGM,615,0.2119,0.0709,0.072,77,B,,,,1.0,YES 🔥,,
2026-05-30,,Jackson Holliday,Baltimore Orioles,Trey Yesavage,DraftKings,593,0.2163,0.0724,0.072,77,B,,,,1.0,YES 🔥,,
2026-05-30,,Connor Norby,Miami Marlins,Christian Scott,FanDuel,611,0.2119,0.0709,0.0712,76,B,,,,1.0,YES 🔥,,
2026-05-30,,Jared Young,New York Mets,Tyler Phillips,FanDuel,607,0.2119,0.0709,0.0704,76,B,,,,1.0,YES 🔥,,
2026-05-30,,Cole Young,Seattle Mariners,Ryne Nelson,BetMGM,605,0.2119,0.0709,0.07,76,B,,,,1.0,YES 🔥,,
2026-05-30,,TJ Rumfield,Colorado Rockies,Adrian Houser,DraftKings,601,0.212,0.0709,0.0694,76,B,,,,1.0,YES 🔥,,
2026-05-30,,Miguel Vargas,Chicago White Sox,Framber Valdez,FanDuel,637,0.2049,0.0709,0.0692,73,B,,,,0.5,YES 🔥,,
2026-05-30,,Nick Kurtz,Athletics,Ryan Weathers,BetMGM,637,0.2049,0.0709,0.0692,73,B,,,,0.5,YES 🔥,,
2026-05-30,,Ozzie Albies,Atlanta Braves,Brady Singer,FanDuel,591,0.2119,0.0709,0.0672,76,B,,,,1.0,YES 🔥,,
2026-05-30,,Sal Stewart,Cincinnati Reds,Martín Pérez,BetMGM,629,0.2043,0.0707,0.0671,72,B,,,,0.5,YES 🔥,,
2026-05-30,,Brandon Lowe,Pittsburgh Pirates,Bailey Ober,FanDuel,589,0.2119,0.0709,0.0667,76,B,,,,1.0,YES 🔥,,
2026-05-30,,Rhys Hoskins,Cleveland Guardians,Sonny Gray,DraftKings,587,0.2119,0.0709,0.0663,76,B,,,,1.0,YES 🔥,,
2026-05-30,,Charles McAdoo,Toronto Blue Jays,Brandon Young,DraftKings,575,0.213,0.0713,0.0649,76,B,,,,1.0,YES 🔥,,
2026-05-30,,Brice Turang,Milwaukee Brewers,Peter Lambert,DraftKings,573,0.2129,0.0712,0.0643,76,B,,,,1.0,YES 🔥,,
2026-05-30,,Chad Stevens,Colorado Rockies,Adrian Houser,BetMGM,645,0.1974,0.0707,0.0632,68,B,,,,0.5,YES 🔥,,
2026-05-30,,Kyle Higashioka,Texas Rangers,Seth Lugo,FanDuel,649,0.1961,0.0715,0.0626,66,B,,,,0.5,YES 🔥,,
2026-05-30,,Tristan Gray,Minnesota Twins,Mitch Keller,DraftKings,637,0.198,0.0709,0.0623,68,B,,,,0.5,YES 🔥,,
2026-05-30,,Willson Contreras,Boston Red Sox,Parker Messick,DraftKings,560,0.2132,0.0713,0.0617,75,B,,,,1.0,YES 🔥,,
2026-05-30,,Isaac Paredes,Houston Astros,Brandon Sproat,FanDuel,561,0.2119,0.0709,0.0606,75,B,,,,1.0,YES 🔥,,
2026-05-30,,Christian Walker,Houston Astros,Brandon Sproat,BetMGM,593,0.2049,0.0709,0.0606,71,B,,,,0.5,YES 🔥,,
2026-05-30,,Elly De La Cruz,Cincinnati Reds,Martín Pérez,FanDuel,630,0.1973,0.0707,0.0604,68,B,,,,0.5,YES 🔥,,
2026-05-30,,Jonathan Aranda,Tampa Bay Rays,Reid Detmers,FanDuel,590,0.2049,0.0709,0.06,71,B,,,,0.5,YES 🔥,,
2026-05-30,,Max Muncy,Los Angeles Dodgers,Jesús Luzardo,DraftKings,628,0.1973,0.0706,0.0599,68,B,,,,0.5,YES 🔥,,
2026-05-30,,Richie Palacios,Tampa Bay Rays,Reid Detmers,BetMGM,619,0.198,0.0709,0.0589,68,B,,,,0.5,YES 🔥,,
2026-05-30,,J.C. Escarra,New York Yankees,J.T. Ginn,DraftKings,625,0.196,0.0714,0.0581,66,B,,,,0.5,YES 🔥,,
2026-05-30,,Brandon Lowe,Pittsburgh Pirates,Bailey Ober,BetMGM,550,0.2119,0.0709,0.058,75,B,,,,1.0,YES 🔥,,
