Date,GameTimeUTC,GameTimeET,GameTime,Game,LineupSpot,Player,player_id,LineupSource,Team,Pitcher,ISO,Pitcher_HR9,HardHit,FlyBall,BarrelRate,ExitVelocity,LaunchAngle,RecentHRRate,ParkFactor,WindFactor,Matchup,FanDuel,DraftKings,BetMGM,PitcherVulnerability
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,1,Chase Meidroth,805367,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,459.0,451.0,458.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,2,Randal Grichuk,545341,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,447.0,435.0,461.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,3,Miguel Vargas,678246,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,402.0,416.0,417.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,4,Colson Montgomery,695657,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,575.0,586.0,568.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,5,Edgar Quero,700337,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,415.0,413.0,403.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,6,Derek Hill,656537,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,463.0,471.0,477.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,7,Luisangel Acuña,682668,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,650.0,656.0,635.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,8,Andrew Benintendi,643217,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,509.0,497.0,512.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,9,Sam Antonacci,803011,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,639.0,632.0,636.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,1,Kevin McGonigle,805808,confirmed,Detroit Tigers,Anthony Kay,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,0.98,1.05,0.65,432.0,436.0,429.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,2,Dillon Dingler,693307,confirmed,Detroit Tigers,Anthony Kay,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,0.98,1.05,0.65,497.0,507.0,508.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,3,Matt Vierling,663837,confirmed,Detroit Tigers,Anthony Kay,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,0.98,1.05,0.65,591.0,586.0,596.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,4,Riley Greene,682985,confirmed,Detroit Tigers,Anthony Kay,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,0.98,1.05,0.65,454.0,446.0,462.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,5,Spencer Torkelson,679529,confirmed,Detroit Tigers,Anthony Kay,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,0.98,1.05,0.65,381.0,389.0,376.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,6,Jahmai Jones,663330,confirmed,Detroit Tigers,Anthony Kay,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,0.98,1.05,0.65,461.0,474.0,448.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,7,Wenceel Pérez,672761,confirmed,Detroit Tigers,Anthony Kay,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,0.98,1.05,0.65,636.0,624.0,622.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,8,Hao-Yu  Lee,701678,confirmed,Detroit Tigers,Anthony Kay,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,0.98,1.05,0.65,591.0,599.0,582.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,9,Zack Short,670097,confirmed,Detroit Tigers,Anthony Kay,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,0.98,1.05,0.65,423.0,416.0,430.0,48.7
2026-05-30,2026-05-30T20:05:00+00:00,2026-05-30T16:05:00-04:00,4:05 PM,Kansas City Royals vs Texas Rangers,1,Carter Jensen,695600,active_roster,Kansas City Royals,Kumar Rocker,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,524.0,539.0,516.0,48.7
2026-05-30,2026-05-30T20:05:00+00:00,2026-05-30T16:05:00-04:00,4:05 PM,Kansas City Royals vs Texas Rangers,2,Salvador Perez,521692,active_roster,Kansas City Royals,Kumar Rocker,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,451.0,438.0,446.0,48.7
2026-05-30,2026-05-30T20:05:00+00:00,2026-05-30T16:05:00-04:00,4:05 PM,Kansas City Royals vs Texas Rangers,3,Vinnie Pasquantino,686469,active_roster,Kansas City Royals,Kumar Rocker,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,609.0,605.0,616.0,48.7
