Date,GameTimeUTC,GameTimeET,GameTime,Game,LineupSpot,Player,player_id,LineupSource,Team,Pitcher,ISO,Pitcher_HR9,HardHit,FlyBall,BarrelRate,ExitVelocity,LaunchAngle,RecentHRRate,ParkFactor,WindFactor,Matchup,FanDuel,DraftKings,BetMGM,PitcherVulnerability
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,1,Chase Meidroth,805367,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,503.0,496.0,501.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,2,Miguel Vargas,678246,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,362.0,349.0,362.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,3,Colson Montgomery,695657,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,513.0,515.0,519.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,4,Randal Grichuk,545341,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,378.0,374.0,374.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,4,Tristan Peters,671976,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,350.0,350.0,345.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,5,Edgar Quero,700337,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,495.0,486.0,500.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,6,Andrew Benintendi,643217,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,558.0,554.0,553.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,7,Luisangel Acuña,682668,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,532.0,542.0,531.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,8,Sam Antonacci,803011,confirmed,Chicago White Sox,Framber Valdez,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,438.0,452.0,431.0,48.7
2026-05-30,2026-05-30T18:10:00+00:00,2026-05-30T14:10:00-04:00,2:10 PM,Detroit Tigers vs Chicago White Sox,1,Kevin McGonigle,805808,confirmed,Detroit Tigers,Anthony Kay,0.18,1.25,38.0,34.0,8.0,89.0,14.0,0.1,0.98,1.0,0.65,565.0,577.0,577.0,48.7
