Date,Snapshot,Player,Team,Pitcher,BestBook,BestOdds,ModelProb,RawModelProb,Edge,Confidence,Grade,Tier,LineupSpot,TopEdgeRank,TopProbRank,Stake,Play,Result,Profit
2026-05-31,MORNING,Matt McLain,Cincinnati Reds,Spencer Strider,FanDuel,+637,0.2281,0.0707,0.0924,84,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,MORNING,Ozzie Albies,Atlanta Braves,Nick Lodolo,DraftKings,+631,0.2288,0.0709,0.092,84,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,MORNING,Hao-Yu  Lee,Detroit Tigers,Sean Burke,BetMGM,+605,0.2335,0.0723,0.0917,87,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,MORNING,Jackson Holliday,Baltimore Orioles,Spencer Miles,DraftKings,+618,0.2298,0.0712,0.0906,84,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,MORNING,Ketel Marte,Arizona Diamondbacks,Bryce Miller,DraftKings,+623,0.2288,0.0709,0.0905,86,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,MORNING,Eric Wagaman,New York Mets,Janson Junk,BetMGM,+663,0.2213,0.0709,0.0903,80,B,TIER 1 💎,3.0,1.0,2.0,1.0,YES 🔥,,
2026-05-31,MORNING,JJ Wetherholt,St. Louis Cardinals,Jordan Wicks,DraftKings,+613,0.2288,0.0709,0.0886,84,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,MORNING,Andrés Chaparro,Washington Nationals,Griffin Canning,DraftKings,+652,0.2213,0.0709,0.0884,80,B,TIER 1 💎,3.0,1.0,2.0,1.0,YES 🔥,,
2026-05-31,MORNING,Charles McAdoo,Toronto Blue Jays,Kyle Bradish,BetMGM,+605,0.2301,0.0713,0.0882,84,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,MORNING,Jake Burger,Texas Rangers,Michael Wacha,FanDuel,+642,0.2225,0.0713,0.0877,80,B,TIER 1 💎,3.0,1.0,2.0,1.0,YES 🔥,,
2026-05-31,MORNING,Jesus Rodriguez,San Francisco Giants,Tanner Gordon,DraftKings,+643,0.2213,0.0709,0.0867,82,B,TIER 1 💎,3.0,1.0,2.0,1.0,YES 🔥,,
2026-05-31,MORNING,Ben Williamson,Tampa Bay Rays,Jack Kochanowicz,DraftKings,+585,0.2288,0.0709,0.0828,85,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,MORNING,Vinnie Pasquantino,Kansas City Royals,Jack Leiter,DraftKings,+618,0.2213,0.0709,0.0821,79,B,TIER 1 💎,3.0,1.0,2.0,1.0,YES 🔥,,
2026-05-31,MORNING,Jazz Chisholm Jr.,New York Yankees,Jacob Lopez,DraftKings,+651,0.2147,0.0712,0.0816,76,B,TIER 1 💎,5.0,1.0,3.0,1.0,YES 🔥,,
2026-05-31,MORNING,Alex Freeland,Los Angeles Dodgers,Andrew Painter,BetMGM,+580,0.228,0.0706,0.0809,83,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,MORNING,Christopher Morel,Miami Marlins,Nolan McLean,DraftKings,+610,0.2213,0.0709,0.0805,81,B,TIER 1 💎,3.0,1.0,2.0,1.0,YES 🔥,,
2026-05-31,MORNING,Kody Clemens,Minnesota Twins,Braxton Ashcraft,DraftKings,+608,0.2213,0.0709,0.0801,81,B,TIER 1 💎,3.0,1.0,2.0,1.0,YES 🔥,,
2026-05-31,MORNING,Isaac Paredes,Houston Astros,Jacob Misiorowski,DraftKings,+569,0.2288,0.0709,0.0794,83,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,MORNING,Chase Meidroth,Chicago White Sox,Keider Montero,FanDuel,+602,0.2213,0.0709,0.0789,81,B,TIER 1 💎,3.0,1.0,2.0,1.0,YES 🔥,,
2026-05-31,MORNING,Cole Young,Seattle Mariners,Merrill Kelly,BetMGM,+557,0.2288,0.0709,0.0766,82,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,MORNING,Donovan Walton,Los Angeles Angels,Shane McClanahan,FanDuel,+552,0.2288,0.0709,0.0755,84,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,MORNING,Miguel Amaya,Chicago Cubs,Matthew Liberatore,FanDuel,+635,0.2101,0.0709,0.074,75,B,TIER 1 💎,2.0,1.0,4.0,1.0,YES 🔥,,
2026-05-31,MORNING,Chad Stevens,Colorado Rockies,Robbie Ray,FanDuel,+607,0.2132,0.0707,0.0718,76,B,TIER 1 💎,5.0,1.0,3.0,1.0,YES 🔥,,
2026-05-31,MORNING,Connor Wong,Boston Red Sox,Tanner Bibee,FanDuel,+614,0.2107,0.0711,0.0707,74,B,TIER 1 💎,2.0,1.0,4.0,1.0,YES 🔥,,
2026-05-31,MORNING,Shea Langeliers,Athletics,Will Warren,DraftKings,+603,0.2101,0.0709,0.0678,74,B,TIER 1 💎,2.0,1.0,4.0,1.0,YES 🔥,,
2026-05-31,MORNING,Patrick Bailey,Cleveland Guardians,Ranger Suarez,BetMGM,+596,0.2101,0.0709,0.0664,74,B,TIER 1 💎,2.0,1.0,4.0,1.0,YES 🔥,,
