Date,Snapshot,Player,Team,Pitcher,BestBook,BestOdds,ModelProb,RawModelProb,Edge,Confidence,Grade,Tier,LineupSpot,TopEdgeRank,TopProbRank,Stake,Play,Result,Profit
2026-05-31,LOCK,Curtis Mead,Washington Nationals,Griffin Canning,DraftKings,633,0.2315,0.0715,0.095,84,B,TIER 1 💎,3.0,1.0,2.0,1.0,YES 🔥,,
2026-05-31,LOCK,Pedro Pagés,St. Louis Cardinals,Jordan Wicks,DraftKings,665,0.219,0.0713,0.0883,81,B,TIER 1 💎,2.0,1.0,4.0,1.0,YES 🔥,,
2026-05-31,LOCK,JJ Bleday,Cincinnati Reds,Spencer Strider,DraftKings,603,0.2269,0.0701,0.0847,85,B,TIER 1 💎,3.0,1.0,2.0,1.0,YES 🔥,,
2026-05-31,LOCK,Jazz Chisholm Jr.,New York Yankees,Jacob Lopez,DraftKings,594,0.2275,0.0727,0.0834,79,B,TIER 1 💎,5.0,1.0,3.0,1.0,YES 🔥,,
2026-05-31,LOCK,Connor Norby,Miami Marlins,Nolan McLean,DraftKings,627,0.22,0.0708,0.0825,80,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,LOCK,Jake Burger,Texas Rangers,Michael Wacha,BetMGM,592,0.2229,0.0717,0.0784,80,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,LOCK,Jesus Rodriguez,San Francisco Giants,Tanner Gordon,DraftKings,607,0.2191,0.0702,0.0777,82,B,TIER 1 💎,3.0,1.0,2.0,1.0,YES 🔥,,
2026-05-31,LOCK,Pedro Ramírez,Chicago Cubs,Matthew Liberatore,BetMGM,604,0.2172,0.072,0.0751,78,B,TIER 1 💎,5.0,1.0,3.0,1.0,YES 🔥,,
2026-05-31,LOCK,Salvador Perez,Kansas City Royals,Jack Leiter,FanDuel,550,0.2279,0.0706,0.074,84,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,LOCK,Mitch Garver,Seattle Mariners,Merrill Kelly,FanDuel,631,0.2107,0.0711,0.0739,76,B,TIER 1 💎,2.0,1.0,4.0,1.0,YES 🔥,,
2026-05-31,LOCK,Jackson Merrill,San Diego Padres,Zack Littell,FanDuel,585,0.2189,0.07,0.0729,81,B,TIER 1 💎,5.0,1.0,3.0,1.0,YES 🔥,,
2026-05-31,LOCK,Michael Harris II,Atlanta Braves,Nick Lodolo,DraftKings,574,0.217,0.0706,0.0687,77,B,TIER 1 💎,2.0,1.0,4.0,1.0,YES 🔥,,
2026-05-31,LOCK,Tyler Freeman,Colorado Rockies,Robbie Ray,DraftKings,551,0.2213,0.072,0.0677,77,B,TIER 1 💎,2.0,2.0,4.0,1.0,YES 🔥,,
2026-05-31,LOCK,Ernie Clement,Toronto Blue Jays,Kyle Bradish,FanDuel,623,0.2058,0.0709,0.0675,73,B,TIER 2 🔥,5.0,1.0,3.0,0.5,YES 🔥,,
2026-05-31,LOCK,Kerry Carpenter,Detroit Tigers,Sean Burke,BetMGM,575,0.2147,0.0718,0.0665,78,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,LOCK,Brandon Lowe,Pittsburgh Pirates,Zebby Matthews,FanDuel,546,0.2204,0.0709,0.0656,79,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,LOCK,Gabriel Moreno,Arizona Diamondbacks,Bryce Miller,DraftKings,645,0.1993,0.0699,0.0651,71,B,TIER 2 🔥,2.0,1.0,4.0,0.5,YES 🔥,,
2026-05-31,LOCK,Jeff McNeil,Athletics,Will Warren,FanDuel,604,0.2046,0.0704,0.0626,73,B,TIER 2 🔥,5.0,1.0,3.0,0.5,YES 🔥,,
2026-05-31,LOCK,Adley Rutschman,Baltimore Orioles,Spencer Miles,BetMGM,582,0.2076,0.0718,0.0609,74,B,TIER 2 🔥,3.0,1.0,2.0,0.5,YES 🔥,,
2026-05-31,LOCK,Brice Turang,Milwaukee Brewers,Tatsuya Imai,BetMGM,516,0.2231,0.0714,0.0607,78,B,TIER 1 💎,3.0,1.0,2.0,1.0,YES 🔥,,
2026-05-31,LOCK,Isiah Kiner-Falefa,Boston Red Sox,Tanner Bibee,BetMGM,557,0.2123,0.0704,0.0601,76,B,TIER 1 💎,5.0,1.0,3.0,1.0,YES 🔥,,
2026-05-31,LOCK,Max Muncy,Los Angeles Dodgers,Andrew Painter,BetMGM,584,0.2052,0.0706,0.059,71,B,TIER 2 🔥,5.0,1.0,3.0,0.5,YES 🔥,,
2026-05-31,LOCK,Kody Clemens,Minnesota Twins,Braxton Ashcraft,FanDuel,574,0.2063,0.0714,0.058,73,B,TIER 2 🔥,3.0,1.0,2.0,0.5,YES 🔥,,
2026-05-31,LOCK,Christian Walker,Houston Astros,Jacob Misiorowski,BetMGM,572,0.2063,0.0714,0.0575,71,B,TIER 2 🔥,3.0,1.0,2.0,0.5,YES 🔥,,
2026-05-31,LOCK,Rhys Hoskins,Cleveland Guardians,Ranger Suarez,DraftKings,533,0.2153,0.072,0.0573,75,B,TIER 1 💎,4.0,1.0,1.0,1.0,YES 🔥,,
2026-05-31,LOCK,Mark Vientos,New York Mets,John King,DraftKings,538,0.2138,0.0709,0.0571,75,B,TIER 1 💎,5.0,1.0,3.0,1.0,YES 🔥,,
2026-05-31,LOCK,Mike Trout,Los Angeles Angels,Shane McClanahan,DraftKings,598,0.1982,0.0722,0.0549,88,A,TIER 2 🔥,2.0,1.0,4.0,0.5,YES 🔥,,
2026-05-31,LOCK,Miguel Vargas,Chicago White Sox,Keider Montero,FanDuel,558,0.2016,0.0706,0.0496,69,B,TIER 2 🔥,2.0,1.0,4.0,0.5,YES 🔥,,
2026-05-31,LOCK,Richie Palacios,Tampa Bay Rays,Jack Kochanowicz,DraftKings,490,0.2063,0.0714,0.0369,71,B,TIER 2 🔥,3.0,1.0,2.0,0.5,YES 🔥,,
2026-05-31,LOCK,Bryson Stott,Philadelphia Phillies,Yoshinobu Yamamoto,FanDuel,460,0.2046,0.0704,0.026,67,B,TIER 2 🔥,5.0,3.0,3.0,0.5,YES 🔥,,
2026-05-31,LOCK,Daylen Lile,Washington Nationals,Griffin Canning,FanDuel,609,0.2236,0.0715,0.0826,80,B,WATCH,5.0,2.0,3.0,0.0,NO,,
2026-05-31,LOCK,Brandon Nimmo,Texas Rangers,Michael Wacha,DraftKings,625,0.2156,0.0717,0.0777,78,B,WATCH,3.0,2.0,2.0,0.0,NO,,
2026-05-31,LOCK,J.C. Escarra,New York Yankees,Jacob Lopez,DraftKings,583,0.2235,0.0727,0.0771,79,B,WATCH,2.0,2.0,4.0,0.0,NO,,
2026-05-31,LOCK,Nolan Gorman,St. Louis Cardinals,Jordan Wicks,BetMGM,575,0.223,0.0713,0.0748,81,B,WATCH,5.0,2.0,3.0,0.0,NO,,
2026-05-31,LOCK,Ezequiel Duran,Texas Rangers,Michael Wacha,BetMGM,649,0.2083,0.0717,0.0748,74,B,WATCH,5.0,3.0,3.0,0.0,NO,,
2026-05-31,LOCK,Kyle Karros,Colorado Rockies,Robbie Ray,BetMGM,647,0.2074,0.072,0.0736,72,B,WATCH,6.0,1.0,6.0,0.0,NO,,
2026-05-31,LOCK,JJ Wetherholt,St. Louis Cardinals,Jordan Wicks,DraftKings,502,0.2386,0.0713,0.0725,86,B,WATCH,4.0,3.0,1.0,0.0,NO,,
2026-05-31,LOCK,Colt Emerson,Seattle Mariners,Merrill Kelly,BetMGM,585,0.2144,0.0711,0.0684,77,B,WATCH,5.0,2.0,3.0,0.0,NO,,
2026-05-31,LOCK,Xavier Edwards,Miami Marlins,Nolan McLean,BetMGM,618,0.2072,0.0713,0.0679,94,A,WATCH,5.0,2.0,3.0,0.0,NO,,
2026-05-31,LOCK,Ezequiel Tovar,Colorado Rockies,Robbie Ray,DraftKings,534,0.2252,0.072,0.0675,79,B,WATCH,5.0,3.0,3.0,0.0,NO,,
2026-05-31,LOCK,Eugenio Suárez,Cincinnati Reds,Spencer Strider,FanDuel,554,0.2192,0.0701,0.0663,77,B,WATCH,5.0,2.0,3.0,0.0,NO,,
2026-05-31,LOCK,Jacob Young,Washington Nationals,Griffin Canning,DraftKings,613,0.206,0.0715,0.0657,70,B,WATCH,6.0,3.0,6.0,0.0,NO,,
2026-05-31,LOCK,Ronald Acuña Jr.,Atlanta Braves,Nick Lodolo,BetMGM,589,0.2093,0.0706,0.0641,73,B,WATCH,1.0,2.0,5.0,0.0,NO,,
2026-05-31,LOCK,Carter Jensen,Kansas City Royals,Jack Leiter,BetMGM,621,0.2017,0.0706,0.063,70,B,WATCH,1.0,2.0,5.0,0.0,NO,,
