Date,GameTimeUTC,GameTimeET,GameTime,Game,LineupSpot,Player,player_id,LineupSource,Team,Pitcher,ISO,Pitcher_HR9,HardHit,FlyBall,BarrelRate,ExitVelocity,LaunchAngle,RecentHRRate,ParkFactor,WindFactor,Matchup,FanDuel,DraftKings,BetMGM,PitcherVulnerability
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,1,Taylor Ward,621493,confirmed,Baltimore Orioles,Spencer Miles,0.23,0.54,43.0,38.0,10.1,90.2,16.8,0.14,1.03,1.0,0.72,510.0,516.0,508.0,32.55
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,2,Gunnar Henderson,683002,confirmed,Baltimore Orioles,Spencer Miles,0.18,0.54,38.0,34.0,8.0,89.0,14.0,0.1,1.03,1.0,0.65,480.0,471.0,490.0,32.55
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,3,Adley Rutschman,668939,confirmed,Baltimore Orioles,Spencer Miles,0.18,0.54,38.0,34.0,8.0,89.0,14.0,0.1,1.03,1.0,0.65,406.0,413.0,408.0,32.55
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,4,Pete Alonso,624413,confirmed,Baltimore Orioles,Spencer Miles,0.18,0.54,38.0,34.0,8.0,89.0,14.0,0.1,1.03,1.0,0.65,332.0,346.0,333.0,32.55
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,5,Samuel Basallo,694212,confirmed,Baltimore Orioles,Spencer Miles,0.18,0.54,38.0,34.0,8.0,89.0,14.0,0.1,1.03,1.0,0.65,357.0,365.0,350.0,32.55
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,6,Leody Taveras,665750,confirmed,Baltimore Orioles,Spencer Miles,0.18,0.54,38.0,34.0,8.0,89.0,14.0,0.1,1.03,1.0,0.65,620.0,623.0,624.0,32.55
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,7,Colton Cowser,681297,confirmed,Baltimore Orioles,Spencer Miles,0.18,0.54,38.0,34.0,8.0,89.0,14.0,0.1,1.03,1.0,0.65,372.0,374.0,375.0,32.55
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,8,Blaze Alexander,677942,confirmed,Baltimore Orioles,Spencer Miles,0.18,0.54,38.0,34.0,8.0,89.0,14.0,0.1,1.03,1.0,0.65,596.0,600.0,587.0,32.55
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,9,Jackson Holliday,702616,confirmed,Baltimore Orioles,Spencer Miles,0.18,0.54,38.0,34.0,8.0,89.0,14.0,0.1,1.03,1.0,0.65,584.0,578.0,599.0,32.55
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,1,Nathan Lukes,664770,confirmed,Toronto Blue Jays,Kyle Bradish,0.18,1.08,38.0,34.0,8.0,89.0,14.0,0.1,1.05,1.1,0.65,429.0,439.0,426.0,40.86
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,2,Vladimir Guerrero Jr.,665489,confirmed,Toronto Blue Jays,Kyle Bradish,0.18,1.08,38.0,34.0,8.0,89.0,14.0,0.1,1.05,1.1,0.65,650.0,651.0,640.0,40.86
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,3,Daulton Varsho,662139,confirmed,Toronto Blue Jays,Kyle Bradish,0.18,1.08,38.0,34.0,8.0,89.0,14.0,0.1,1.05,1.1,0.65,488.0,480.0,479.0,40.86
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,4,Kazuma Okamoto,672960,confirmed,Toronto Blue Jays,Kyle Bradish,0.18,1.08,38.0,34.0,8.0,89.0,14.0,0.1,1.05,1.1,0.65,475.0,474.0,472.0,40.86
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,5,Ernie Clement,676391,confirmed,Toronto Blue Jays,Kyle Bradish,0.18,1.08,38.0,34.0,8.0,89.0,14.0,0.1,1.05,1.1,0.65,633.0,637.0,638.0,40.86
2026-05-31,2026-05-31T16:15:00+00:00,2026-05-31T12:15:00-04:00,12:15 PM,Toronto Blue Jays vs Baltimore Orioles,6,Jesús Sánchez,660821,confirmed,Toronto Blue Jays,Kyle Bradish,0.18,1.08,38.0,34.0,8.0,89.0,14.0,0.1,1.05,1.1,0.65,403.0,400.0,390.0,40.86
