Date,Player
2026-05-30,Wenceel Pérez
2026-05-30,Edgar Quero
2026-05-30,Colson Montgomery
2026-05-30,Andrew Benintendi
2026-05-30,Xander Bogaerts
2026-05-30,Drew Millas
2026-05-30,Manny Machado
2026-05-30,Fernando Tatis Jr.
2026-05-30,Josh Jung
2026-05-30,Carter Jensen
2026-05-30,Joc Pederson
2026-05-30,Spencer Horwitz
2026-05-30,Jake Mangum
2026-05-30,Oneil Cruz
2026-05-30,Jarren Duran
2026-05-30,Wade Meckler
2026-05-30,Yandy Díaz
2026-05-30,Mike Trout
2026-05-30,Jo Adell
2026-05-30,Oswald Peraza
2026-05-30,Jared Young
2026-05-30,Hayden Senger
2026-05-30,Jeremy Peña
2026-05-30,Christian Walker
2026-05-30,Pete Crow-Armstrong
2026-05-30,JJ Bleday
2026-05-30,Ronald Acuña Jr.
2026-05-30,Jorge Mateo
2026-05-30,Matt Olson
2026-05-30,Jake McCarthy
2026-05-30,Kyle Karros
2026-05-30,Drew Gilbert
2026-05-30,Shea Langeliers
2026-05-30,Tyler Soderstrom
2026-05-30,Nick Kurtz
2026-05-30,Luke Raley
2026-05-30,Dominic Canzone
2026-05-30,Colt Emerson
2026-05-30,Julio Rodríguez
2026-05-30,Alec Bohm
2026-05-30,Edmundo Sosa
